case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_core_4die_task,memory1,memory,die1,B_memory1_local_bist,B,0,CONFIG_BIST,0.0,5.76e-06,5.76e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,,0.1,thermal_die1,
v4_core_4die_task,core0,core,die0,F_core0_lane1,F,0,CONFIG_ACCESS_PATH,5.76e-06,7.68e-06,1.92e-06,True,0,,dwr_die0_upper,,,0.12,thermal_die0,
v4_core_4die_task,memory1,memory,die1,B_memory1_local_bist,B,1,LOCAL_BIST_RUN,5.76e-06,0.00500576,0.005,False,0,,dwr_die1_lower;dwr_die1_upper,,test_session_die1,1.4000000000000001,thermal_die1,external TAP resources released; local test session remains occupied
v4_core_4die_task,core0,core,die0,F_core0_lane1,F,1,CONFIG_FPP,7.68e-06,8.96e-06,1.28e-06,True,0,fpp_ch0,dwr_die0_upper,,,0.12,thermal_die0,
v4_core_4die_task,core0,core,die0,F_core0_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,8.96e-06,1.028e-05,1.32e-06,True,0,,dwr_die0_upper,,,0.12,thermal_die0,
v4_core_4die_task,core3,core,die2,F_core3_lane1,F,0,CONFIG_ACCESS_PATH,1.028e-05,1.476e-05,4.48e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core0,core,die0,F_core0_lane1,F,3,FPP_SHIFT_IN,1.028e-05,8.708e-05,7.68e-05,False,1,fpp_ch0,dwr_die0_upper,,test_session_die0,1.0,thermal_die0,
v4_core_4die_task,core3,core,die2,F_core3_lane1,F,1,CONFIG_FPP,1.476e-05,1.604e-05,1.28e-06,True,0,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core3,core,die2,F_core3_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,1.604e-05,1.768e-05,1.64e-06,True,0,,dwr_die2_lower;dwr_die2_upper,,,0.16,thermal_die2,
v4_core_4die_task,core4,core,die3,F_core4_lane2,F,0,CONFIG_ACCESS_PATH,1.768e-05,2.344e-05,5.76e-06,True,0,,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,core3,core,die2,F_core3_lane1,F,3,FPP_SHIFT_IN,1.768e-05,0.00019048,0.0001728,False,1,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,test_session_die2,1.39,thermal_die2,
v4_core_4die_task,core4,core,die3,F_core4_lane2,F,1,CONFIG_FPP,2.344e-05,2.472e-05,1.28e-06,True,0,fpp_ch0,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,core4,core,die3,F_core4_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,2.472e-05,2.604e-05,1.32e-06,True,0,,dwr_die3_lower,,,0.16,thermal_die3,
v4_core_4die_task,core4,core,die3,F_core4_lane2,F,3,FPP_SHIFT_IN,2.604e-05,0.00011244,8.64e-05,False,2,fpp_ch0,dwr_die3_lower,,test_session_die3,1.42,thermal_die3,
v4_core_4die_task,core0,core,die0,F_core0_lane1,F,4,CAPTURE,8.708e-05,8.808e-05,1e-06,False,0,,dwr_die0_upper,,test_session_die0,1.92,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane1,F,0,CONFIG_ACCESS_PATH,8.808e-05,9e-05,1.92e-06,True,0,,dwr_die0_upper,,,0.1,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane1,F,1,CONFIG_FPP,9e-05,9.128e-05,1.28e-06,True,0,fpp_ch0,dwr_die0_upper,,,0.1,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane1,F,2,CONFIG_SCAN_OR_DWR_MODE,9.128e-05,9.26e-05,1.32e-06,True,0,,dwr_die0_upper,,,0.1,thermal_die0,
v4_core_4die_task,core1,core,die0,F_core1_lane1,F,3,FPP_SHIFT_IN,9.26e-05,0.0001426,5e-05,False,1,fpp_ch0,dwr_die0_upper,,test_session_die0,0.88,thermal_die0,
v4_core_4die_task,core4,core,die3,F_core4_lane2,F,4,CAPTURE,0.00011244,0.00011344,1e-06,False,0,,dwr_die3_lower,,test_session_die3,2.7600000000000002,thermal_die3,
v4_core_4die_task,core4,core,die3,F_core4_lane2,F,5,FPP_SHIFT_OUT,0.00011344,0.00019984,8.64e-05,False,2,fpp_ch0,dwr_die3_lower,,test_session_die3,1.42,thermal_die3,
v4_core_4die_task,core1,core,die0,F_core1_lane1,F,4,CAPTURE,0.0001426,0.0001436,1e-06,False,0,,dwr_die0_upper,,test_session_die0,1.6,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2,F,0,CONFIG_ACCESS_PATH,0.0001436,0.00014552,1.92e-06,True,0,,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2,F,1,CONFIG_FPP,0.00014552,0.0001468,1.28e-06,True,0,fpp_ch0,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,0.0001468,0.00014812,1.32e-06,True,0,,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2,F,3,FPP_SHIFT_IN,0.00014812,0.00015562,7.5e-06,False,2,fpp_ch0,dwr_die0_upper,,test_session_die0,0.7399999999999999,thermal_die0,
v4_core_4die_task,memory0,memory,die0,F_memory0_lane2,F,4,CAPTURE,0.00015562,0.00015662,1e-06,False,0,,dwr_die0_upper,,test_session_die0,1.28,thermal_die0,
v4_core_4die_task,memory0,memory,die0,B_memory0_local_bist,B,0,CONFIG_BIST,0.00015662,0.0001611,4.48e-06,True,0,,dwr_die0_upper,,,0.08,thermal_die0,
v4_core_4die_task,memory0,memory,die0,B_memory0_local_bist,B,1,LOCAL_BIST_RUN,0.0001611,0.0041611,0.004,False,0,,dwr_die0_upper,,test_session_die0,1.1800000000000002,thermal_die0,external TAP resources released; local test session remains occupied
v4_core_4die_task,core3,core,die2,F_core3_lane1,F,4,CAPTURE,0.00019048,0.00019148,1e-06,False,0,,dwr_die2_lower;dwr_die2_upper,,test_session_die2,2.7600000000000002,thermal_die2,
v4_core_4die_task,core3,core,die2,F_core3_lane1,F,5,FPP_SHIFT_OUT,0.00019148,0.00036428,0.0001728,False,1,fpp_ch0,dwr_die2_lower;dwr_die2_upper,,test_session_die2,1.39,thermal_die2,
v4_core_4die_task,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,0.00036428,0.00037004,5.76e-06,True,0,,dwr_die2_upper;dwr_die3_lower,,,0.0,thermal_die3,
